########## gain_x_depth ##########

  SWEEP gain_x_depth   25 configs x 2 seeds
  50 to run, 0 already done -> F:\Github\assemblies\research\experiments\sweep.csv
  [ 22/48] n=4000 M=96 p=0.05 D=5 g=1.69 s=43  acc=0.625 marg=  1.83  [23s, eta 4m]
  [ 23/48] n=4000 M=128 p=0.05 D=5 g=1.69 s=42  acc=0.031 marg=  1.00  [31s, eta 4m]
  [ 24/48] n=4000 M=128 p=0.05 D=5 g=1.69 s=43  acc=0.016 marg=  1.03  [30s, eta 5m]
  [ 25/48] n=4000 M=192 p=0.05 D=5 g=1.69 s=42  acc=0.031 marg=  1.01  [55s, eta 5m]
  [ 26/48] n=4000 M=192 p=0.05 D=5 g=1.69 s=43  acc=0.010 marg=  1.01  [48s, eta 5m]
  [ 27/48] n=4000 M=256 p=0.05 D=5 g=1.69 s=42  acc=0.016 marg=  1.01  [63s, eta 6m]
  [ 28/48] n=4000 M=256 p=0.05 D=5 g=1.69 s=43  acc=0.016 marg=  1.01  [66s, eta 6m]
  [ 29/48] n=8000 M=24 p=0.05 D=5 g=1.91 s=42  acc=1.000 marg= 32.48  [5s, eta 6m]
  [ 30/48] n=8000 M=24 p=0.05 D=5 g=1.91 s=43  acc=1.000 marg= 32.34  [5s, eta 5m]
  [ 31/48] n=8000 M=32 p=0.05 D=5 g=1.91 s=42  acc=1.000 marg= 24.96  [6s, eta 5m]
  [ 32/48] n=8000 M=32 p=0.05 D=5 g=1.91 s=43  acc=1.000 marg= 24.38  [6s, eta 4m]
  [ 33/48] n=8000 M=48 p=0.05 D=5 g=1.91 s=42  acc=1.000 marg= 19.95  [12s, eta 4m]
  [ 34/48] n=8000 M=48 p=0.05 D=5 g=1.91 s=43  acc=1.000 marg= 21.42  [11s, eta 4m]
  [ 35/48] n=8000 M=64 p=0.05 D=5 g=1.91 s=42  acc=1.000 marg= 19.18  [27s, eta 4m]
  [ 36/48] n=8000 M=64 p=0.05 D=5 g=1.91 s=43  acc=1.000 marg= 18.68  [20s, eta 3m]
  [ 37/48] n=8000 M=96 p=0.05 D=5 g=1.91 s=42  acc=1.000 marg= 15.21  [40s, eta 3m]
  [ 38/48] n=8000 M=96 p=0.05 D=5 g=1.91 s=43  acc=1.000 marg= 15.04  [48s, eta 3m]
  [ 39/48] n=8000 M=128 p=0.05 D=5 g=1.91 s=42  acc=1.000 marg= 11.69  [59s, eta 3m]
  [ 40/48] n=8000 M=128 p=0.05 D=5 g=1.91 s=43  acc=1.000 marg=  9.11  [62s, eta 3m]
  [ 41/48] n=8000 M=192 p=0.05 D=5 g=1.91 s=42  acc=0.682 marg=  2.30  [88s, eta 3m]
  [ 42/48] n=8000 M=192 p=0.05 D=5 g=1.91 s=43  acc=0.073 marg=  1.09  [90s, eta 2m]
  [ 43/48] n=8000 M=256 p=0.05 D=5 g=1.91 s=42  acc=0.051 marg=  1.02  [129s, eta 2m]
  [ 44/48] n=8000 M=256 p=0.05 D=5 g=1.91 s=43  acc=0.039 marg=  1.03  [106s, eta 2m]
  [ 45/48] n=8000 M=384 p=0.05 D=5 g=1.91 s=42  acc=0.039 marg=  1.02  [169s, eta 2m]
  [ 46/48] n=8000 M=384 p=0.05 D=5 g=1.91 s=43  acc=0.023 marg=  1.01  [165s, eta 1m]
  [ 47/48] n=8000 M=512 p=0.05 D=5 g=1.91 s=42  acc=0.004 marg=  1.01  [228s, eta 1m]
