cut,n,k,p,kp,M,alpha,T,beta,gain,depth,level,seed,acc,margin,spread,floor,Q
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.532971,2.3500,5,2,42,1.000000,11.391815,0.021815,0.012500,0.009432
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.532971,2.3500,5,3,42,1.000000,8.337760,0.025444,0.012500,0.013107
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.532971,2.3500,5,4,42,1.000000,6.068337,0.032379,0.012500,0.020131
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.532971,2.3500,5,5,42,0.968750,3.038050,0.037177,0.012500,0.024990
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.532971,2.3500,5,1,43,1.000000,12.576562,0.019556,0.012500,0.007146
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.532971,2.3500,5,2,43,1.000000,10.159003,0.023266,0.012500,0.010902
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.532971,2.3500,5,3,43,1.000000,7.537499,0.025323,0.012500,0.012985
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.532971,2.3500,5,4,43,0.968750,3.223458,0.035040,0.012500,0.022826
gain_x_alpha,4000,50,0.05000,2.500,32,0.4000,2,0.532971,2.3500,5,5,43,0.406250,1.714458,0.043105,0.012500,0.030992
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,5,1,42,1.000000,12.817708,0.014256,0.012500,0.001778
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,5,2,42,1.000000,11.094531,0.014782,0.012500,0.002311
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,5,3,42,1.000000,8.772135,0.014573,0.012500,0.002100
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,5,4,42,1.000000,6.784263,0.015625,0.012500,0.003165
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,5,5,42,1.000000,5.233854,0.015159,0.012500,0.002692
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,2,1,42,1.000000,12.648958,0.014702,0.012500,0.002230
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,2,2,42,1.000000,10.359245,0.015228,0.012500,0.002763
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,2,1,43,1.000000,13.332552,0.014603,0.012500,0.002130
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,2,2,43,1.000000,10.469010,0.014058,0.012500,0.001577
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,5,1,43,1.000000,12.944531,0.014454,0.012500,0.001979
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,5,2,43,1.000000,10.104948,0.015288,0.012500,0.002823
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,5,3,43,1.000000,8.805915,0.014514,0.012500,0.002039
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,5,4,43,1.000000,6.558594,0.013730,0.012500,0.001246
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,5,5,43,1.000000,5.196205,0.014058,0.012500,0.001577
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,2,1,42,1.000000,13.407292,0.015754,0.012500,0.003295
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,2,2,42,1.000000,10.574144,0.016438,0.012500,0.003988
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,2,1,43,1.000000,13.530618,0.014821,0.012500,0.002351
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,2,2,43,1.000000,12.127344,0.015675,0.012500,0.003215
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.356466,1.8400,2,1,42,1.000000,12.854427,0.016885,0.012500,0.004440
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.356466,1.8400,2,2,42,1.000000,10.382403,0.018730,0.012500,0.006309
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.264911,1.6000,5,1,42,1.000000,11.965365,0.015883,0.012500,0.003426
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.264911,1.6000,5,2,42,1.000000,10.688281,0.015496,0.012500,0.003034
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.264911,1.6000,5,3,42,1.000000,9.799740,0.015099,0.012500,0.002632
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.264911,1.6000,5,4,42,1.000000,7.559449,0.016359,0.012500,0.003908
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.264911,1.6000,5,5,42,1.000000,6.463318,0.016716,0.012500,0.004270
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.356466,1.8400,2,1,43,1.000000,13.628720,0.015466,0.012500,0.003004
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.356466,1.8400,2,2,43,1.000000,11.120536,0.017282,0.012500,0.004842
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.400000,1.9600,2,1,42,1.000000,12.710938,0.017500,0.012500,0.005063
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.400000,1.9600,2,2,42,1.000000,10.255339,0.019940,0.012500,0.007535
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.400000,1.9600,2,1,43,1.000000,13.184375,0.016091,0.012500,0.003637
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.400000,1.9600,2,2,43,1.000000,10.544568,0.018839,0.012500,0.006420
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.264911,1.6000,5,1,43,1.000000,13.264323,0.015407,0.012500,0.002944
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.264911,1.6000,5,2,43,1.000000,10.800260,0.015843,0.012500,0.003386
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.264911,1.6000,5,3,43,1.000000,9.224275,0.016091,0.012500,0.003637
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.264911,1.6000,5,4,43,1.000000,7.657924,0.015893,0.012500,0.003436
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.264911,1.6000,5,5,43,1.000000,6.744792,0.014692,0.012500,0.002220
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.449138,2.1000,2,1,42,1.000000,11.731250,0.018859,0.012500,0.006440
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.449138,2.1000,2,2,42,1.000000,7.687676,0.025794,0.012500,0.013462
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.449138,2.1000,2,1,43,1.000000,12.606771,0.017341,0.012500,0.004903
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.449138,2.1000,2,2,43,1.000000,9.709623,0.020089,0.012500,0.007685
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,5,1,42,1.000000,13.166406,0.016042,0.012500,0.003586
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,5,2,42,1.000000,10.281399,0.018194,0.012500,0.005767
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,5,3,42,1.000000,9.273512,0.016419,0.012500,0.003968
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,5,4,42,1.000000,8.700818,0.016141,0.012500,0.003687
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,5,5,42,1.000000,7.286979,0.017857,0.012500,0.005425
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,3,1,42,1.000000,13.180469,0.014931,0.012500,0.002461
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,3,2,42,1.000000,10.754688,0.015446,0.012500,0.002984
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,3,3,42,1.000000,8.745833,0.015139,0.012500,0.002672
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,3,1,43,1.000000,13.337500,0.014593,0.012500,0.002120
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,3,2,43,1.000000,11.480990,0.014087,0.012500,0.001607
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.224745,1.5000,3,3,43,1.000000,9.013802,0.015089,0.012500,0.002622
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,5,1,43,1.000000,13.159896,0.015298,0.012500,0.002833
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,5,2,43,1.000000,10.887240,0.016429,0.012500,0.003978
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,5,3,43,1.000000,9.459896,0.017063,0.012500,0.004621
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,5,4,43,1.000000,8.220499,0.017222,0.012500,0.004782
gain_x_alpha,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,5,5,43,1.000000,7.238616,0.016448,0.012500,0.003998
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,3,1,42,1.000000,13.867448,0.015456,0.012500,0.002994
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,3,2,42,1.000000,11.053311,0.016329,0.012500,0.003878
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,3,3,42,1.000000,9.159431,0.016855,0.012500,0.004410
gain_x_depth,4000,50,0.05000,2.500,64,0.8000,2,0.303840,1.7000,3,1,43,1.000000,12.583333,0.016438,0.012500,0.003988
