n,k,p,M,alpha,T,beta,gain,depth,level,seed,acc,margin,spread,floor,Q
2000,50,0.05,64,1.6,2,0.414214,2.0000,5,5,42,0.015625,1.000000,0.710099,0.025000,0.702666
2000,50,0.05,64,1.6,2,0.414214,2.0000,5,1,43,1.000000,5.084402,0.060089,0.025000,0.035989
2000,50,0.05,64,1.6,2,0.414214,2.0000,5,2,43,0.375000,1.096996,0.201974,0.025000,0.181512
2000,50,0.05,64,1.6,2,0.414214,2.0000,5,3,43,0.093750,1.013446,0.428750,0.025000,0.414103
2000,50,0.05,64,1.6,2,0.414214,2.0000,5,4,43,0.015625,1.005175,0.595784,0.025000,0.585419
2000,50,0.05,64,1.6,2,0.414214,2.0000,5,5,43,0.015625,1.000000,0.677679,0.025000,0.669414
2000,50,0.05,64,1.6,2,0.414214,2.0000,5,1,44,1.000000,4.756895,0.056855,0.025000,0.032672
2000,50,0.05,64,1.6,2,0.414214,2.0000,5,2,44,0.296875,1.088892,0.197272,0.025000,0.176689
2000,50,0.05,64,1.6,2,0.414214,2.0000,5,3,44,0.187500,1.022643,0.389087,0.025000,0.373423
2000,50,0.05,64,1.6,2,0.414214,2.0000,5,4,44,0.031250,1.004192,0.628442,0.025000,0.618915
2000,50,0.05,64,1.6,2,0.414214,2.0000,5,5,44,0.015625,1.000000,0.730724,0.025000,0.723820
2000,50,0.05,64,1.6,2,0.435270,2.0600,5,1,42,1.000000,4.322502,0.069415,0.025000,0.045554
2000,50,0.05,64,1.6,2,0.435270,2.0600,5,2,42,0.406250,1.086122,0.237788,0.025000,0.218244
2000,50,0.05,64,1.6,2,0.435270,2.0600,5,3,42,0.140625,1.011620,0.459187,0.025000,0.445319
2000,50,0.05,64,1.6,2,0.435270,2.0600,5,4,42,0.046875,1.008112,0.599484,0.025000,0.589214
2000,50,0.05,64,1.6,2,0.435270,2.0600,5,5,42,0.031250,1.006059,0.696181,0.025000,0.688390
2000,50,0.05,64,1.6,2,0.435270,2.0600,5,1,43,1.000000,4.500264,0.068304,0.025000,0.044414
2000,50,0.05,64,1.6,2,0.435270,2.0600,5,2,43,0.375000,1.086751,0.227371,0.025000,0.207560
2000,50,0.05,64,1.6,2,0.435270,2.0600,5,3,43,0.156250,1.011727,0.482688,0.025000,0.469424
2000,50,0.05,64,1.6,2,0.435270,2.0600,5,4,43,0.015625,1.002578,0.671567,0.025000,0.663146
2000,50,0.05,64,1.6,2,0.435270,2.0600,5,5,43,0.015625,1.000000,0.736875,0.025000,0.730128
2000,50,0.05,64,1.6,2,0.435270,2.0600,5,1,44,1.000000,4.617283,0.062847,0.025000,0.038818
2000,50,0.05,64,1.6,2,0.435270,2.0600,5,2,44,0.343750,1.093086,0.214028,0.025000,0.193875
2000,50,0.05,64,1.6,2,0.435270,2.0600,5,3,44,0.187500,1.019902,0.415853,0.025000,0.400875
2000,50,0.05,64,1.6,2,0.435270,2.0600,5,4,44,0.062500,1.007344,0.562788,0.025000,0.551577
2000,50,0.05,64,1.6,2,0.435270,2.0600,5,5,44,0.015625,1.000000,0.686895,0.025000,0.678867
2000,50,0.05,64,1.6,2,0.466288,2.1500,5,1,42,1.000000,4.133093,0.071448,0.025000,0.047639
2000,50,0.05,64,1.6,2,0.466288,2.1500,5,2,42,0.328125,1.082680,0.257639,0.025000,0.238604
2000,50,0.05,64,1.6,2,0.466288,2.1500,5,3,42,0.109375,1.008872,0.455407,0.025000,0.441443
2000,50,0.05,64,1.6,2,0.466288,2.1500,5,4,42,0.046875,1.005421,0.607897,0.025000,0.597843
2000,50,0.05,64,1.6,2,0.466288,2.1500,5,5,42,0.000000,1.000000,0.706151,0.025000,0.698616
2000,50,0.05,64,1.6,2,0.466288,2.1500,5,1,43,1.000000,4.254212,0.072718,0.025000,0.048942
2000,50,0.05,64,1.6,2,0.466288,2.1500,5,2,43,0.406250,1.073026,0.276448,0.025000,0.257896
2000,50,0.05,64,1.6,2,0.466288,2.1500,5,3,43,0.187500,1.012473,0.530585,0.025000,0.518549
2000,50,0.05,64,1.6,2,0.466288,2.1500,5,4,43,0.062500,1.002903,0.701647,0.025000,0.693997
2000,50,0.05,64,1.6,2,0.466288,2.1500,5,5,43,0.031250,1.000000,0.759812,0.025000,0.753653
2000,50,0.05,64,1.6,2,0.466288,2.1500,5,1,44,1.000000,4.405314,0.068284,0.025000,0.044394
2000,50,0.05,64,1.6,2,0.466288,2.1500,5,2,44,0.406250,1.087558,0.238899,0.025000,0.219383
2000,50,0.05,64,1.6,2,0.466288,2.1500,5,3,44,0.171875,1.018316,0.450585,0.025000,0.436498
2000,50,0.05,64,1.6,2,0.466288,2.1500,5,4,44,0.062500,1.008859,0.584742,0.025000,0.574094
