n,k,p,M,alpha,T,beta,gain,depth,level,seed,acc,margin,spread,floor,Q
2000,50,0.05,32,0.8,2,0.414214,2.0000,5,5,43,0.031250,1.000000,0.314073,0.025000,0.296485
2000,50,0.05,32,0.8,2,0.414214,2.0000,5,1,44,1.000000,7.960144,0.041855,0.025000,0.017287
2000,50,0.05,32,0.8,2,0.414214,2.0000,5,2,44,1.000000,3.729912,0.062419,0.025000,0.038379
2000,50,0.05,32,0.8,2,0.414214,2.0000,5,3,44,0.218750,1.151745,0.118427,0.025000,0.095823
2000,50,0.05,32,0.8,2,0.414214,2.0000,5,4,44,0.031250,1.012781,0.262661,0.025000,0.243755
2000,50,0.05,32,0.8,2,0.414214,2.0000,5,5,44,0.031250,1.000000,0.377339,0.025000,0.361373
2000,50,0.05,32,0.8,2,0.435270,2.0600,5,1,42,1.000000,7.784363,0.045363,0.025000,0.020885
2000,50,0.05,32,0.8,2,0.435270,2.0600,5,2,42,1.000000,2.813349,0.081411,0.025000,0.057858
2000,50,0.05,32,0.8,2,0.435270,2.0600,5,3,42,0.187500,1.034691,0.180040,0.025000,0.159016
2000,50,0.05,32,0.8,2,0.435270,2.0600,5,4,42,0.093750,1.011290,0.271169,0.025000,0.252481
2000,50,0.05,32,0.8,2,0.435270,2.0600,5,5,42,0.062500,1.000638,0.373468,0.025000,0.357403
2000,50,0.05,32,0.8,2,0.435270,2.0600,5,1,43,1.000000,7.823698,0.043024,0.025000,0.018486
2000,50,0.05,32,0.8,2,0.435270,2.0600,5,2,43,1.000000,2.831377,0.079032,0.025000,0.055418
2000,50,0.05,32,0.8,2,0.435270,2.0600,5,3,43,0.250000,1.071882,0.193992,0.025000,0.173325
2000,50,0.05,32,0.8,2,0.435270,2.0600,5,4,43,0.093750,1.005874,0.381290,0.025000,0.365426
2000,50,0.05,32,0.8,2,0.435270,2.0600,5,5,43,0.031250,1.018495,0.517056,0.025000,0.504673
2000,50,0.05,32,0.8,2,0.435270,2.0600,5,1,44,1.000000,7.065554,0.044960,0.025000,0.020471
2000,50,0.05,32,0.8,2,0.435270,2.0600,5,2,44,1.000000,3.044657,0.068105,0.025000,0.044210
2000,50,0.05,32,0.8,2,0.435270,2.0600,5,3,44,0.125000,1.068536,0.126734,0.025000,0.104342
2000,50,0.05,32,0.8,2,0.435270,2.0600,5,4,44,0.031250,1.002660,0.211169,0.025000,0.190943
2000,50,0.05,32,0.8,2,0.435270,2.0600,5,5,44,0.031250,1.000000,0.324677,0.025000,0.307361
2000,50,0.05,32,0.8,2,0.466288,2.1500,5,1,42,1.000000,7.352803,0.049153,0.025000,0.024773
2000,50,0.05,32,0.8,2,0.466288,2.1500,5,2,42,1.000000,2.108603,0.102500,0.025000,0.079487
2000,50,0.05,32,0.8,2,0.466288,2.1500,5,3,42,0.187500,1.027299,0.249516,0.025000,0.230273
2000,50,0.05,32,0.8,2,0.466288,2.1500,5,4,42,0.093750,1.007231,0.397782,0.025000,0.382341
2000,50,0.05,32,0.8,2,0.466288,2.1500,5,5,42,0.031250,1.000000,0.484516,0.025000,0.471299
2000,50,0.05,32,0.8,2,0.466288,2.1500,5,1,43,1.000000,7.532763,0.044637,0.025000,0.020141
2000,50,0.05,32,0.8,2,0.466288,2.1500,5,2,43,1.000000,2.352577,0.088710,0.025000,0.065343
2000,50,0.05,32,0.8,2,0.466288,2.1500,5,3,43,0.187500,1.044305,0.208589,0.025000,0.188296
2000,50,0.05,32,0.8,2,0.466288,2.1500,5,4,43,0.093750,1.007217,0.302379,0.025000,0.284491
2000,50,0.05,32,0.8,2,0.466288,2.1500,5,5,43,0.062500,1.008291,0.399435,0.025000,0.384036
2000,50,0.05,32,0.8,2,0.466288,2.1500,5,1,44,1.000000,7.136184,0.046653,0.025000,0.022208
2000,50,0.05,32,0.8,2,0.466288,2.1500,5,2,44,1.000000,2.568949,0.091492,0.025000,0.068197
2000,50,0.05,32,0.8,2,0.466288,2.1500,5,3,44,0.218750,1.078408,0.221290,0.025000,0.201323
2000,50,0.05,32,0.8,2,0.466288,2.1500,5,4,44,0.093750,1.013430,0.413306,0.025000,0.398263
2000,50,0.05,32,0.8,2,0.466288,2.1500,5,5,44,0.093750,1.005115,0.524516,0.025000,0.512324
2000,50,0.05,32,0.8,2,0.516575,2.3000,5,1,42,1.000000,6.116698,0.055121,0.025000,0.030893
2000,50,0.05,32,0.8,2,0.516575,2.3000,5,2,42,0.687500,1.455564,0.150000,0.025000,0.128205
2000,50,0.05,32,0.8,2,0.516575,2.3000,5,3,42,0.156250,1.023670,0.333911,0.025000,0.316832
2000,50,0.05,32,0.8,2,0.516575,2.3000,5,4,42,0.125000,1.011928,0.484919,0.025000,0.471712
2000,50,0.05,32,0.8,2,0.516575,2.3000,5,5,42,0.000000,1.000000,0.561653,0.025000,0.550414
2000,50,0.05,32,0.8,2,0.516575,2.3000,5,1,43,1.000000,6.171292,0.059395,0.025000,0.035277
2000,50,0.05,32,0.8,2,0.516575,2.3000,5,2,43,0.593750,1.319598,0.151169,0.025000,0.129404
2000,50,0.05,32,0.8,2,0.516575,2.3000,5,3,43,0.187500,1.020486,0.336290,0.025000,0.319272
2000,50,0.05,32,0.8,2,0.516575,2.3000,5,4,43,0.093750,1.010868,0.489395,0.025000,0.476303
2000,50,0.05,32,0.8,2,0.516575,2.3000,5,5,43,0.031250,1.000000,0.582016,0.025000,0.571299
2000,50,0.05,32,0.8,2,0.516575,2.3000,5,1,44,1.000000,6.059529,0.056774,0.025000,0.032589
2000,50,0.05,32,0.8,2,0.516575,2.3000,5,2,44,0.718750,1.423685,0.142984,0.025000,0.121009
2000,50,0.05,32,0.8,2,0.516575,2.3000,5,3,44,0.250000,1.028879,0.336411,0.025000,0.319396
2000,50,0.05,32,0.8,2,0.516575,2.3000,5,4,44,0.156250,1.005129,0.548669,0.025000,0.537097
2000,50,0.05,32,0.8,2,0.516575,2.3000,5,5,44,0.031250,1.000000,0.641371,0.025000,0.632175
4000,50,0.05,64,0.8,2,0.224745,1.5000,5,1,42,1.000000,12.817708,0.014256,0.012500,0.001778
4000,50,0.05,64,0.8,2,0.224745,1.5000,5,2,42,1.000000,11.094531,0.014782,0.012500,0.002311
4000,50,0.05,64,0.8,2,0.224745,1.5000,5,3,42,1.000000,8.772135,0.014573,0.012500,0.002100
4000,50,0.05,64,0.8,2,0.224745,1.5000,5,4,42,1.000000,6.784263,0.015625,0.012500,0.003165
4000,50,0.05,64,0.8,2,0.224745,1.5000,5,5,42,1.000000,5.233854,0.015159,0.012500,0.002692
4000,50,0.05,64,0.8,2,0.224745,1.5000,5,1,43,1.000000,12.944531,0.014454,0.012500,0.001979
4000,50,0.05,64,0.8,2,0.224745,1.5000,5,2,43,1.000000,10.104948,0.015288,0.012500,0.002823
4000,50,0.05,64,0.8,2,0.224745,1.5000,5,3,43,1.000000,8.805915,0.014514,0.012500,0.002039
