path	sha256	structural_check	lines	semantic_scope
cpp/python_implementations/core_implementations/optimized_implementations/billion_scale_demo_20250923_130803.json	b2afcadf25930b9458261bd01716d353c7c87fcf558bda190b6f05118f265d01	bytes hashed	52	structural inventory only
cpp/python_implementations/core_implementations/optimized_implementations/billion_scale_optimization_test.py	0345636450211ae37c51dd85991758d1a21f5af01c391a59e54107a97e70f8cd	Python AST parsed	344	structural inventory only
cpp/python_implementations/core_implementations/optimized_implementations/billion_scale_test_20250923_130707.json	a28ca8a048d2eed0d31aa6e6832fb3d5ea20f84c58443c3478c2da38075e2a38	bytes hashed	72	structural inventory only
cpp/python_implementations/core_implementations/optimized_implementations/optimized_brain_simulator.py	8fb3edae324fc8afaade3f48152f550f55b385c6e5dc6ef0c0866fb976145973	Python AST parsed	461	structural inventory only
cpp/python_implementations/core_implementations/optimized_implementations/optimized_implementations_test_20250924_015740.json	fda02126347d3624effa21938342b52f017b4a126064aec866df2cb0078f8efe	bytes hashed	62	structural inventory only
cpp/python_implementations/core_implementations/optimized_implementations/simple_billion_scale_test.py	485ec276fffa4b69e6bc2ddb94b02a619340be79d23b8a5a687ca9a871fb5f87	Python AST parsed	265	structural inventory only
cpp/python_implementations/core_implementations/optimized_implementations/test_all_optimized_implementations.py	1281c32ecb70115fab651be3981c843d585e1f886b57a973b6dfbe933d0c7fff	Python AST parsed	434	structural inventory only
cpp/python_implementations/core_implementations/optimized_implementations/test_optimized_vs_original.py	1a4aa53e4b60d2dbfe31cb7efef06ae67bbda17a40329d3b7e2b599c056bfe48	Python AST parsed	243	structural inventory only
cpp/python_implementations/core_implementations/optimized_implementations/universal_brain_simulator_optimized.py	b439af5c3268501de482e0e509f35396121f2decc73b2d2677ce927945d4f6d9	Python AST parsed	661	structural inventory only
cpp/python_implementations/core_implementations/results/README.md	c21b3bf8bdf4d5fa3ff202a78fa7db4daf03a25c0d92021fb61862d33cb249c2	bytes hashed	53	structural inventory only
