########## gain_x_alpha ##########

  SWEEP gain_x_alpha   64 configs x 2 seeds
  40 to run, 88 already done -> F:\Github\assemblies\research\experiments\sweep.csv
  [ 93/96] n=4000 M=32 p=0.025 D=5 g=2.20 s=42  acc=0.000 marg=  1.00  [6s, eta 1m]
  [ 94/96] n=4000 M=32 p=0.025 D=5 g=2.20 s=43  acc=0.062 marg=  1.00  [6s, eta 1m]
  [ 95/96] n=4000 M=32 p=0.025 D=5 g=2.35 s=42  acc=0.062 marg=  1.00  [6s, eta 0m]
  [ 96/96] n=4000 M=32 p=0.025 D=5 g=2.35 s=43  acc=0.031 marg=  1.00  [5s, eta 0m]

  done in 26.8 min
########## gain_x_depth ##########

  SWEEP gain_x_depth   25 configs x 2 seeds
  0 to run, 50 already done -> F:\Github\assemblies\research\experiments\sweep.csv


  done in 0.0 min
########## gain_x_kp ##########

  SWEEP gain_x_kp   24 configs x 2 seeds
  0 to run, 48 already done -> F:\Github\assemblies\research\experiments\sweep.csv


  done in 0.0 min
