
  SWEEP gain_x_alpha   112 configs x 3 seeds
  336 to run, 0 already done -> F:\Github\assemblies\research\experiments\sweep.csv
  [ 93/336] n=4000 M=64 p=0.05 D=5 g=2.20 s=46  acc=0.047 marg=  1.01  [7s, eta 37m]
  [ 94/336] n=4000 M=64 p=0.05 D=5 g=2.35 s=44  acc=0.000 marg=  1.00  [7s, eta 37m]
  [ 95/336] n=4000 M=64 p=0.05 D=5 g=2.35 s=45  acc=0.031 marg=  1.01  [8s, eta 37m]
  [ 96/336] n=4000 M=64 p=0.05 D=5 g=2.35 s=46  acc=0.094 marg=  1.01  [6s, eta 36m]
  [ 97/336] n=4000 M=96 p=0.05 D=5 g=1.08 s=44  acc=0.010 marg=  1.18  [14s, eta 36m]
  [ 98/336] n=4000 M=96 p=0.05 D=5 g=1.08 s=45  acc=0.010 marg=  1.15  [14s, eta 36m]
  [ 99/336] n=4000 M=96 p=0.05 D=5 g=1.08 s=46  acc=0.042 marg=  1.16  [16s, eta 36m]
  [100/336] n=4000 M=96 p=0.05 D=5 g=1.15 s=44  acc=0.062 marg=  1.20  [14s, eta 36m]
  [101/336] n=4000 M=96 p=0.05 D=5 g=1.15 s=45  acc=0.052 marg=  1.21  [14s, eta 37m]
  [102/336] n=4000 M=96 p=0.05 D=5 g=1.15 s=46  acc=0.042 marg=  1.20  [13s, eta 37m]
  [103/336] n=4000 M=96 p=0.05 D=5 g=1.22 s=44  acc=0.333 marg=  1.34  [13s, eta 36m]
  [104/336] n=4000 M=96 p=0.05 D=5 g=1.22 s=45  acc=0.188 marg=  1.27  [14s, eta 36m]
  [105/336] n=4000 M=96 p=0.05 D=5 g=1.22 s=46  acc=0.292 marg=  1.34  [13s, eta 36m]
  [106/336] n=4000 M=96 p=0.05 D=5 g=1.30 s=44  acc=0.354 marg=  1.45  [12s, eta 36m]
  [107/336] n=4000 M=96 p=0.05 D=5 g=1.30 s=45  acc=0.427 marg=  1.44  [12s, eta 36m]
  [108/336] n=4000 M=96 p=0.05 D=5 g=1.30 s=46  acc=0.333 marg=  1.45  [12s, eta 36m]
  [109/336] n=4000 M=96 p=0.05 D=5 g=1.40 s=44  acc=0.667 marg=  1.98  [15s, eta 36m]
  [110/336] n=4000 M=96 p=0.05 D=5 g=1.40 s=45  acc=0.688 marg=  2.04  [12s, eta 36m]
